ISBN,title,author,Year-Of-Publication,image
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
0060934417,Bel Canto: A Novel,Ann Patchett,2002,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg
006440188X,The Secret Garden,Frances Hodgson Burnett,1998,http://images.amazon.com/images/P/006440188X.01.MZZZZZZZ.jpg
0440977096,The Secret Garden,Frances Hodgson Burnett,1989,http://images.amazon.com/images/P/0440977096.01.MZZZZZZZ.jpg
0879236493,The Secret Garden,Frances Hodgson Burnett,1987,http://images.amazon.com/images/P/0879236493.01.MZZZZZZZ.jpg
0590471724,The Secret Garden,M.J. Carr,1993,http://images.amazon.com/images/P/0590471724.01.MZZZZZZZ.jpg
0439099390,The Secret Garden,Frances Hodgson Burnett,1999,http://images.amazon.com/images/P/0439099390.01.MZZZZZZZ.jpg
055321201X,The Secret Garden,Frances H. Burnett,1987,http://images.amazon.com/images/P/055321201X.01.MZZZZZZZ.jpg
0590433466,The Secret Garden,Frances H. Burnett,1997,http://images.amazon.com/images/P/0590433466.01.MZZZZZZZ.jpg
0451525817,The Secret Garden,Frances Hodgson Burnett,1994,http://images.amazon.com/images/P/0451525817.01.MZZZZZZZ.jpg
0812519108,The Secret Garden,Frances Hodgson Burnett,1991,http://images.amazon.com/images/P/0812519108.01.MZZZZZZZ.jpg
0440477093,The Secret Garden,Frances H. Burnett,1990,http://images.amazon.com/images/P/0440477093.01.MZZZZZZZ.jpg
1569874115,The Secret Garden,Frances Hodgson Burnett,0,http://images.amazon.com/images/P/1569874115.01.MZZZZZZZ.jpg
0440777062,The Secret Garden,Frances Hodgson Burnett,1979,http://images.amazon.com/images/P/0440777062.01.MZZZZZZZ.jpg
0140067477,The Tao of Pooh,Benjamin Hoff,1983,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg
0525244581,The Tao of Pooh,Benjamin Hoff,1982,http://images.amazon.com/images/P/0525244581.01.MZZZZZZZ.jpg
014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,http://images.amazon.com/images/P/014029628X.01.MZZZZZZZ.jpg
1565115430,Girl in Hyacinth Blue,Susan Vreeland,2001,http://images.amazon.com/images/P/1565115430.01.MZZZZZZZ.jpg
1878448900,Girl in Hyacinth Blue,Susan Vreeland,1999,http://images.amazon.com/images/P/1878448900.01.MZZZZZZZ.jpg
014100018X,Chocolat,Joanne Harris,2000,http://images.amazon.com/images/P/014100018X.01.MZZZZZZZ.jpg
0552998931,Chocolat,Joanne Harris,2001,http://images.amazon.com/images/P/0552998931.01.MZZZZZZZ.jpg
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
0670894605,The Secret Life of Bees,Sue Monk Kidd,2002,http://images.amazon.com/images/P/0670894605.01.MZZZZZZZ.jpg
0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,http://images.amazon.com/images/P/0312966091.01.MZZZZZZZ.jpg
031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,http://images.amazon.com/images/P/031298328X.01.MZZZZZZZ.jpg
0316096199,Lucky : A Memoir,Alice Sebold,2002,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg
0316168688,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,http://images.amazon.com/images/P/0316168688.01.MZZZZZZZ.jpg
